7.59176	-5.71482	1.29228	-2.53887	6.23809	4.41704	7.65	-5.65	1.81972	-1.81972
7.65795	-5.84271	1.24322	-2.47971	9.53172	-0.647271	7.7	-5.8	0.90983	-2.72951
7.7303	-5.97102	1.25509	-2.46058	7.31827	2.50215	7.75	-5.95	0.909826	-2.72948
7.84485	-6.13612	1.62568	-2.76172	9.89957	-0.659824	7.85	-6.1	1.9986	-2.9979
7.9363	-6.26313	1.65098	-2.73319	7.9507	0.317444	7.95	-6.25	1.99858	-2.99787
8.0109	-6.38979	1.50764	-2.58821	10.4099	-0.66785	8.05	-6.35	1.81738	-1.81739
8.11682	-6.50432	1.56639	-2.51837	8.04107	-1.38167	8.15	-6.45	1.81737	-1.81737
8.19021	-6.62827	1.46902	-2.42712	10.3865	-0.678464	8.2	-6.6	0.909293	-2.72787
8.2678	-6.75916	1.46404	-2.42289	7.37872	-3.6993	8.25	-6.75	0.909293	-2.72787
8.35098	-6.89145	1.47992	-2.42827	10.6843	-0.687607	8.35	-6.85	1.81994	-1.81993
8.44131	-7.00441	1.50752	-2.3807	6.59374	-5.27633	8.45	-6.95	1.81993	-1.81993
8.5108	-7.11776	1.46751	-2.34473	10.9406	-0.696337	8.5	-7.1	1.00006	-3.00018
8.57444	-7.24055	1.44584	-2.36074	4.89515	-7.00908	8.55	-7.25	1.00006	-3.00018
8.68083	-7.39415	1.70265	-2.59962	11.3727	-0.707378	8.65	-7.4	1.99807	-2.99712
8.75682	-7.53175	1.68098	-2.61946	2.68052	-8.31417	8.75	-7.55	1.99808	-2.99712
8.80826	-7.6374	1.37801	-2.34524	11.7598	-0.716035	8.8	-7.65	0.909955	-1.8199
8.87491	-7.76643	1.36003	-2.34939	0.874365	-8.80206	8.85	-7.75	0.909946	-1.81988
8.95052	-7.89588	1.42739	-2.42293	11.8789	-0.726017	8.9	-7.9	0.999086	-2.9973
9.00406	-8.02832	1.38675	-2.45399	-1.64034	-8.80822	8.95	-8.05	0.999095	-2.9973
9.04333	-8.12975	1.1253	-2.21462	11.9442	-0.735521	9	-8.15	0.909309	-1.8186
9.0937	-8.25329	1.10153	-2.22306	-3.43706	-8.38161	9.05	-8.25	0.909301	-1.81859
9.16674	-8.38881	1.24715	-2.37838	12.4893	-0.745345	9.1	-8.4	1.0004	-3.00119
9.2056	-8.52564	1.19193	-2.42551	-5.85876	-7.03266	9.15	-8.55	1.00038	-3.00117
9.2437	-8.63473	0.998088	-2.24503	12.6764	-0.755304	9.2	-8.65	0.909508	-1.819
9.28329	-8.76592	0.963795	-2.26736	-7.32558	-5.64034	9.25	-8.75	0.9095	-1.81899
9.4126	-8.97317	1.58156	-2.9066	13.0018	-0.765199	9.35	-8.95	1.99965	-3.99928
9.47666	-9.13204	1.54501	-2.9406	-9.10099	-2.53345	9.45	-9.15	1.99964	-3.99928
9.51529	-9.23784	1.26143	-2.65096	13.2646	-0.772362	9.5	-9.25	0.999584	-1.99917
9.57022	-9.36872	1.24591	-2.65101	-9.51628	-0.694282	9.55	-9.35	0.999584	-1.99917
9.60999	-9.48118	1.09263	-2.50266	13.3655	-0.782802	9.55	-9.5	0	-3.00023
9.6296	-9.62828	1.01173	-2.56204	-9.30753	2.12842	9.55	-9.65	0	-3.0002
9.6897	-9.77412	1.09659	-2.66943	13.8483	-0.794831	9.6	-9.8	0.999005	-2.997
9.71585	-9.92351	1.03106	-2.71335	-8.42174	4.70328	9.65	-9.95	0.998995	-2.997
9.74297	-10.0414	0.819068	-2.48901	13.8368	-0.803954	9.7	-10.05	0.909855	-1.81969
9.77771	-10.1724	0.800603	-2.48144	-7.35424	6.3831	9.75	-10.15	0.909847	-1.81969
9.81687	-10.299	0.798664	-2.48817	14.4307	-0.812263	9.75	-10.3	0	-3.00065
9.8242	-10.4459	0.721568	-2.54648	-4.86727	8.45425	9.75	-10.45	0	-3.00063
9.87172	-10.6007	0.794872	-2.64205	14.3135	-0.824455	9.8	-10.6	0.90817	-2.72451
9.89637	-10.754	0.751847	-2.66529	-2.36994	9.56114	9.85	-10.75	0.908161	-2.72448
9.91388	-10.8756	0.584193	-2.48139	14.7429	-0.835956	9.85	-10.9	0	-2.73074
9.91123	-11.0303	0.503882	-2.53146	0.446664	9.82599	9.85	-11.05	0	-2.73073
9.93496	-11.1618	0.509504	-2.55443	14.8851	-0.848604	9.85	-11.2	0	-2.99965
9.92184	-11.3161	0.417432	-2.62206	3.41327	9.2351	9.85	-11.35	0	-2.99961
9.93863	-11.4518	0.408594	-2.63501	15.2094	-0.863774	9.85	-11.5	0	-2.99843
9.91836	-11.6075	0.313114	-2.69793	5.83315	7.91478	9.85	-11.65	0	-2.99843
9.88234	-11.6788	-0.0610371	-2.23951	15.413	-0.877244	9.8	-11.75	-1.0003	-2.00061
9.83714	-11.8162	-0.160659	-2.30566	7.31559	6.44442	9.75	-11.85	-1.00029	-2.00059
9.82768	-11.9399	-0.146712	-2.34862	15.4054	-0.88995	9.7	-12	-1.0004	-3.00119
9.76398	-12.0955	-0.282527	-2.44448	8.8276	3.90696	9.65	-12.15	-1.00039	-3.00116
9.72328	-12.1865	-0.470117	-2.20854	15.7547	-0.905673	9.6	-12.25	-0.999885	-1.99981
9.65139	-12.3231	-0.58418	-2.27735	9.32141	2.07046	9.55	-12.35	-0.999884	-1.99979
9.58363	-12.3868	-0.857712	-1.91328	15.5466	-0.922266	9.45	-12.45	-1.99803	-1.99805
9.48211	-12.5151	-0.996946	-1.99733	9.35962	0.152297	9.35	-12.55	-1.99804	-1.99804
9.42039	-12.6234	-1.02963	-1.97198	15.7759	-0.936847	9.3	-12.65	-0.909773	-1.81953
9.31782	-12.7521	-1.13743	-2.02703	9.0467	-1.78615	9.25	-12.75	-0.909773	-1.81954
9.20579	-12.7689	-1.5486	-1.41913	15.9017	-0.95744	9.05	-12.85	-3.99257	-1.99629
